Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
2,sla=Scheduled && source=android,both,1380.6,8329.1,9709.7,14.219
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=EVENING,both,117.0,706.0,823.0,14.216
2,booking_type=one_way_trip && zone=219,both,134.4,814.0,948.5,14.172
2,city=Delhi NCR && dayType=FRIDAY,both,53.0,321.0,374.0,14.171
2,zone=250 && zone_demand_popularity=POPULARITY_INDEX_2,both,30.0,183.0,213.0,14.085
2,city=Hyderabad && estimated_usage_bins=GT_1_LTE_2_HOURS,both,61.0,373.0,434.0,14.055
2,city=Mumbai && source=android,both,316.7,1938.9,2255.6,14.041
2,sla=Scheduled && zone=219,both,143.3,877.3,1020.6,14.041
2,city=Hyderabad && source=android,both,202.5,1244.7,1447.3,13.995
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_3,both,182.0,1125.0,1307.0,13.925
2,booking_type=4hr && city=Mumbai,both,71.0,439.0,510.0,13.922
2,city=Hyderabad && zone=156,yes,29.0,179.4,208.4,13.914
2,source=msite && zone_demand_popularity=POPULARITY_INDEX_5,yes,29.0,179.4,208.4,13.914
2,zone=156 && zone_demand_popularity=POPULARITY_INDEX_2,yes,29.0,179.4,208.4,13.914
2,pickUpHourOfDay=MORNING && zone_demand_popularity=POPULARITY_INDEX_5,both,91.0,564.0,655.0,13.893
2,pickUpHourOfDay=EARLY && source=android,both,178.6,1112.1,1290.8,13.837
2,city=Delhi NCR && pickUpHourOfDay=NIGHT,both,32.0,200.0,232.0,13.793
2,city=Hyderabad && zone_demand_popularity=POPULARITY_INDEX_2,both,60.0,375.0,435.0,13.793
2,booking_type=4hr && zone_demand_popularity=POPULARITY_INDEX_5,both,42.0,263.0,305.0,13.770
2,city=Mumbai && dayType=FRIDAY,both,100.0,629.0,729.0,13.717
2,estimated_usage_bins=GT_2_LTE_3_HOURS && zone_demand_popularity=POPULARITY_INDEX_5,both,29.0,183.0,212.0,13.679
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_3,both,220.0,1388.5,1608.5,13.679
