Level,Frequent_itemset,Frequent_item_set_seen_in,Yes_case_count,No_case_count,Total,Yes_percentage
2,tripOutcome=good && zone=418,yes,151.7,156.8,308.5,49.173
2,booking_type=one_way_trip && zone=418,yes,151.4,156.8,308.2,49.132
2,zone=451 && zone_demand_popularity=POPULARITY_INDEX_3,yes,151.0,156.8,307.8,49.058
2,sla=Scheduled && zone=429,yes,150.3,156.8,307.1,48.941
2,booking_type=one_way_trip && zone=429,yes,149.6,156.8,306.4,48.818
2,zone=431 && zone_demand_popularity=POPULARITY_INDEX_3,yes,149.0,156.8,305.8,48.725
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_3,both,767.0,812.0,1579.0,48.575
2,estimated_usage_bins=LTE_1_HOUR && zone=445,yes,148.0,156.8,304.8,48.549
2,dayType=NORMAL_WEEKDAY && zone=439,yes,147.1,156.8,303.9,48.410
2,sla=Scheduled && zone=448,yes,146.8,156.8,303.6,48.353
2,tripOutcome=good && zone=429,yes,144.6,156.8,301.4,47.984
2,sla=Scheduled && zone=431,yes,139.8,156.8,296.6,47.136
2,zone=448 && zone_demand_popularity=POPULARITY_INDEX_3,yes,137.0,156.8,293.8,46.631
2,estimated_usage_bins=LTE_1_HOUR && zone=439,yes,136.6,156.8,293.4,46.553
2,zone=444 && zone_demand_popularity=POPULARITY_INDEX_3,yes,136.0,156.8,292.8,46.448
2,zone=432 && zone_demand_popularity=POPULARITY_INDEX_3,yes,135.0,156.8,291.8,46.265
2,tripOutcome=good && zone=448,yes,134.1,156.8,290.9,46.091
2,zone=446 && zone_demand_popularity=POPULARITY_INDEX_3,yes,133.0,156.8,289.8,45.894
2,sla=Scheduled && zone=444,yes,132.8,156.8,289.6,45.860
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_3,both,734.1,874.5,1608.5,45.637
2,booking_type=one_way_trip && zone=289,yes,130.6,156.8,287.4,45.447
2,source=android && zone=439,yes,128.9,156.8,285.7,45.116
2,dayType=WEEKEND && zone_demand_popularity=POPULARITY_INDEX_3,both,586.0,721.0,1307.0,44.836
2,tripOutcome=good && zone=431,yes,127.0,156.8,283.8,44.751
2,tripOutcome=good && zone=444,yes,127.0,156.8,283.8,44.751
2,sla=Scheduled && zone=432,yes,125.8,156.8,282.6,44.521
2,dayType=FRIDAY && zone_demand_popularity=POPULARITY_INDEX_3,both,301.0,379.0,680.0,44.265
2,dayType=WEEKEND && zone=443,yes,122.0,156.8,278.8,43.759
2,source=ios && zone=439,yes,122.0,156.8,278.8,43.759
2,pickUpHourOfDay=NIGHT && zone_demand_popularity=POPULARITY_INDEX_3,both,217.0,280.0,497.0,43.662
2,source=ios && zone=445,yes,121.0,156.8,277.8,43.557
2,estimated_usage_bins=LTE_1_HOUR && zone=430,yes,119.5,156.8,276.3,43.251
2,tripOutcome=good && zone_demand_popularity=POPULARITY_INDEX_3,both,1594.6,2145.0,3739.6,42.642
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=VERYLATE,both,119.0,161.0,280.0,42.500
2,sla=Scheduled && zone_demand_popularity=POPULARITY_INDEX_3,both,1702.2,2306.8,4009.0,42.459
2,pickUpHourOfDay=EARLY && zone_demand_popularity=POPULARITY_INDEX_3,both,249.0,338.0,587.0,42.419
2,dayType=WEEKEND && zone=289,yes,115.0,156.8,271.8,42.311
2,source=ios && zone=430,yes,112.0,156.8,268.8,41.667
2,booking_type=one_way_trip && zone=431,yes,111.7,156.8,268.5,41.600
2,tripOutcome=good && zone=432,yes,109.4,156.8,266.2,41.089
2,sla=Scheduled && zone=452,yes,108.4,156.8,265.2,40.864
2,dayType=NORMAL_WEEKDAY && zone=430,yes,107.5,156.8,264.3,40.679
2,zone=452 && zone_demand_popularity=POPULARITY_INDEX_3,yes,107.0,156.8,263.8,40.561
2,sla=Scheduled && zone=433,yes,104.9,156.8,261.7,40.074
2,sla=Scheduled && zone=446,yes,104.9,156.8,261.7,40.074
2,source=ios && zone=289,yes,104.0,156.8,260.8,39.877
2,estimated_usage_bins=GT_1_LTE_2_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,both,274.0,414.0,688.0,39.826
2,zone=419 && zone_demand_popularity=POPULARITY_INDEX_4,yes,103.0,156.8,259.8,39.646
2,estimated_usage_bins=GT_6_LTE_8_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,both,109.0,167.0,276.0,39.493
2,dayType=NORMAL_WEEKDAY && zone=451,yes,101.9,156.8,258.7,39.381
2,dayType=NORMAL_WEEKDAY && zone_demand_popularity=POPULARITY_INDEX_3,both,924.3,1441.2,2365.5,39.075
2,estimated_usage_bins=LTE_1_HOUR && zone=429,yes,100.5,156.8,257.3,39.068
2,estimated_usage_bins=NOT_SPECIFIED && zone_demand_popularity=POPULARITY_INDEX_3,yes,100.0,156.8,256.8,38.941
2,pickUpHourOfDay=VERYLATE && zone=443,yes,100.0,156.8,256.8,38.941
2,booking_type=one_way_trip && estimated_usage_bins=GT_1_LTE_2_HOURS,both,505.5,795.1,1300.6,38.865
2,estimated_usage_bins=GT_4_LTE_6_HOURS && zone_demand_popularity=POPULARITY_INDEX_1,both,102.0,161.0,263.0,38.783
2,booking_type=one_way_trip && estimated_usage_bins=NOT_SPECIFIED,both,130.6,206.3,337.0,38.764
2,estimated_usage_bins=LTE_1_HOUR && zone=418,yes,98.6,156.8,255.4,38.615
2,estimated_usage_bins=GT_4_LTE_6_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,both,131.0,209.0,340.0,38.529
2,dayType=NORMAL_WEEKDAY && zone=450,yes,98.1,156.8,254.9,38.484
2,estimated_usage_bins=NOT_SPECIFIED && zone_demand_popularity=POPULARITY_INDEX_1,yes,98.0,156.8,254.8,38.462
2,sla=Scheduled && zone=399,yes,97.9,156.8,254.7,38.429
2,zone=433 && zone_demand_popularity=POPULARITY_INDEX_4,yes,97.0,156.8,253.8,38.219
2,booking_type=one_way_trip && zone=450,yes,96.5,156.8,253.3,38.109
2,dayType=NORMAL_WEEKDAY && pickUpHourOfDay=VERYLATE,both,281.1,460.3,741.3,37.913
2,tripOutcome=good && zone=433,yes,95.3,156.8,252.1,37.791
2,tripOutcome=good && zone=446,yes,95.3,156.8,252.1,37.791
2,tripOutcome=good && zone=452,yes,95.3,156.8,252.1,37.791
2,booking_type=8hr && zone_demand_popularity=POPULARITY_INDEX_3,yes,95.0,156.8,251.8,37.729
2,source=Phone && zone_demand_popularity=POPULARITY_INDEX_3,both,98.0,163.0,261.0,37.548
2,tripOutcome=bad && zone_demand_popularity=POPULARITY_INDEX_3,both,173.0,290.0,463.0,37.365
2,source=android && zone_demand_popularity=POPULARITY_INDEX_3,both,813.9,1375.5,2189.3,37.174
2,booking_type=one_way_trip && estimated_usage_bins=GT_2_LTE_3_HOURS,yes,92.8,156.8,249.6,37.170
2,estimated_usage_bins=GT_2_LTE_3_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,both,112.0,190.0,302.0,37.086
2,source=android && zone=430,yes,92.1,156.8,248.9,36.994
2,tripOutcome=good && zone=419,yes,91.7,156.8,248.5,36.908
2,pickUpHourOfDay=AFTERNOON && zone_demand_popularity=POPULARITY_INDEX_1,both,205.0,351.0,556.0,36.871
2,sla=Scheduled && zone=419,yes,90.9,156.8,247.7,36.692
2,estimated_usage_bins=GT_3_LTE_4_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,both,247.0,427.0,674.0,36.647
2,booking_type=round_trip && zone=443,yes,90.0,156.8,246.8,36.467
2,pickUpHourOfDay=MORNING && zone=289,yes,90.0,156.8,246.8,36.467
2,zone=454 && zone_demand_popularity=POPULARITY_INDEX_3,yes,90.0,156.8,246.8,36.467
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_5,both,308.6,537.6,846.2,36.465
2,estimated_usage_bins=LTE_1_HOUR && zone=289,yes,89.2,156.8,246.0,36.248
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_4,both,141.0,248.0,389.0,36.247
2,booking_type=6hr && zone_demand_popularity=POPULARITY_INDEX_3,yes,89.0,156.8,245.8,36.208
2,booking_type=4hr && zone_demand_popularity=POPULARITY_INDEX_3,both,207.0,366.0,573.0,36.126
2,source=android && zone=448,yes,88.4,156.8,245.2,36.048
2,pickUpHourOfDay=NIGHT && zone_demand_popularity=POPULARITY_INDEX_5,both,99.0,178.0,277.0,35.740
2,dayType=WEEKEND && zone=439,yes,87.0,156.8,243.8,35.685
2,source=ios && zone=418,yes,87.0,156.8,243.8,35.685
2,source=ios && zone=450,yes,86.0,156.8,242.8,35.420
2,booking_type=8hr && source=ios,both,104.0,191.0,295.0,35.254
2,dayType=NORMAL_WEEKDAY && zone=429,yes,84.9,156.8,241.7,35.123
2,dayType=NORMAL_WEEKDAY && zone=432,yes,84.9,156.8,241.7,35.123
2,sla=Scheduled && source=B2B Portal,yes,83.9,156.8,240.7,34.853
2,booking_type=one_way_trip && zone=432,yes,83.3,156.8,240.1,34.693
2,estimated_usage_bins=GT_6_LTE_8_HOURS && source=ios,both,130.0,245.0,375.0,34.667
2,dayType=NORMAL_WEEKDAY && zone=448,yes,83.0,156.8,239.8,34.612
2,zone=399 && zone_demand_popularity=POPULARITY_INDEX_4,yes,83.0,156.8,239.8,34.612
2,source=android && zone=450,yes,82.9,156.8,239.7,34.574
2,booking_type=8hr && sla=Scheduled,both,290.1,552.2,842.3,34.440
2,dayType=WEEKEND && zone=430,yes,82.0,156.8,238.8,34.339
2,pickUpHourOfDay=VERYLATE && zone=430,yes,82.0,156.8,238.8,34.339
2,source=ios && zone=429,yes,82.0,156.8,238.8,34.339
2,pickUpHourOfDay=VERYLATE && source=ios,both,401.0,767.0,1168.0,34.332
2,source=android && zone=432,yes,81.0,156.8,237.8,34.067
2,dayType=WEEKEND && zone=445,yes,81.0,156.8,237.8,34.062
2,pickUpHourOfDay=EARLY && zone_demand_popularity=POPULARITY_INDEX_1,both,136.0,268.0,404.0,33.663
2,booking_type=one_way_trip && pickUpHourOfDay=EARLY,both,265.0,522.5,787.5,33.654
2,source=android && zone=418,yes,79.2,156.8,236.0,33.553
2,pickUpHourOfDay=EVENING && zone=445,yes,79.0,156.8,235.8,33.503
2,pickUpHourOfDay=MORNING && zone_demand_popularity=POPULARITY_INDEX_3,both,306.0,609.0,915.0,33.443
2,booking_type=one_way_trip && pickUpHourOfDay=VERYLATE,both,721.3,1448.2,2169.5,33.246
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=LATENIGHT,yes,78.0,156.8,234.8,33.220
2,pickUpHourOfDay=VERYLATE && tripOutcome=good,both,610.3,1231.2,1841.6,33.142
2,source=B2B Portal && tripOutcome=good,yes,77.6,156.8,234.4,33.110
2,tripOutcome=good && zone=442,yes,77.6,156.8,234.4,33.110
2,source=android && zone=429,yes,77.3,156.8,234.1,33.030
2,pickUpHourOfDay=VERYLATE && sla=Scheduled,both,723.5,1471.5,2195.0,32.962
2,dayType=WEEKEND && zone=418,yes,77.0,156.8,233.8,32.934
2,sla=Scheduled && zone=442,yes,76.9,156.8,233.7,32.904
2,estimated_usage_bins=GT_6_LTE_8_HOURS && sla=Scheduled,both,335.5,688.6,1024.1,32.765
2,estimated_usage_bins=NOT_SPECIFIED && tripOutcome=good,both,335.1,687.9,1023.1,32.759
2,pickUpHourOfDay=VERYLATE && source=android,both,335.1,692.3,1027.4,32.616
2,source=android && zone=451,yes,75.5,156.8,232.3,32.499
2,pickUpHourOfDay=AFTERNOON && zone_demand_popularity=POPULARITY_INDEX_3,both,234.0,487.0,721.0,32.455
2,estimated_usage_bins=NOT_SPECIFIED && sla=Scheduled,both,353.0,737.5,1090.5,32.372
2,dayType=WEEKEND && pickUpHourOfDay=VERYLATE,both,451.0,945.0,1396.0,32.307
2,booking_type=8hr && tripOutcome=good,both,261.1,550.3,811.4,32.174
2,pickUpHourOfDay=EVENING && zone_demand_popularity=POPULARITY_INDEX_3,both,242.0,512.0,754.0,32.095
2,dayType=WEEKEND && estimated_usage_bins=NOT_SPECIFIED,both,85.0,180.0,265.0,32.075
2,dayType=NORMAL_WEEKDAY && zone=444,yes,73.6,156.8,230.4,31.935
2,sla=Scheduled && zone=422,yes,73.4,156.8,230.2,31.885
2,sla=Scheduled && zone=428,yes,73.4,156.8,230.2,31.885
2,sla=Scheduled && zone=454,yes,73.4,156.8,230.2,31.885
2,pickUpHourOfDay=VERYLATE && tripOutcome=bad,both,166.0,356.0,522.0,31.801
2,booking_type=round_trip && zone=289,yes,73.0,156.8,229.8,31.767
2,pickUpHourOfDay=AFTERNOON && zone=443,yes,73.0,156.8,229.8,31.767
2,source=msite && zone_demand_popularity=POPULARITY_INDEX_3,yes,73.0,156.8,229.8,31.767
2,zone=441 && zone_demand_popularity=POPULARITY_INDEX_4,yes,73.0,156.8,229.8,31.767
2,estimated_usage_bins=GT_1_LTE_2_HOURS && pickUpHourOfDay=NIGHT,both,125.0,269.0,394.0,31.726
2,estimated_usage_bins=GT_3_LTE_4_HOURS && tripOutcome=bad,both,96.0,207.0,303.0,31.683
2,estimated_usage_bins=GT_1_LTE_2_HOURS && source=ios,both,466.0,1012.0,1478.0,31.529
2,estimated_usage_bins=GT_6_LTE_8_HOURS && zone_demand_popularity=POPULARITY_INDEX_1,yes,72.0,156.8,228.8,31.469
2,estimated_usage_bins=NOT_SPECIFIED && pickUpHourOfDay=AFTERNOON,yes,72.0,156.8,228.8,31.469
2,pickUpHourOfDay=MORNING && zone=443,yes,72.0,156.8,228.8,31.469
2,tripOutcome=bad && zone_demand_popularity=POPULARITY_INDEX_5,both,168.0,366.0,534.0,31.461
2,dayType=NORMAL_WEEKDAY && zone=418,yes,71.7,156.8,228.5,31.373
2,booking_type=one_way_trip && source=msite,both,106.0,232.9,338.9,31.285
2,source=ios && zone=444,yes,71.0,156.8,227.8,31.168
2,booking_type=4hr && tripOutcome=bad,both,71.0,158.0,229.0,31.004
2,estimated_usage_bins=GT_6_LTE_8_HOURS && tripOutcome=good,both,303.4,677.4,980.8,30.935
2,estimated_usage_bins=GT_8_HOURS && zone_demand_popularity=POPULARITY_INDEX_3,yes,70.0,156.8,226.8,30.864
2,pickUpHourOfDay=VERYLATE && zone=418,yes,70.0,156.8,226.8,30.864
2,pickUpHourOfDay=VERYLATE && zone_demand_popularity=POPULARITY_INDEX_5,yes,70.0,156.8,226.8,30.864
2,booking_type=12hr && sla=Scheduled,both,83.9,188.7,272.6,30.769
2,booking_type=12hr && tripOutcome=good,both,84.7,190.5,275.2,30.769
2,estimated_usage_bins=LTE_1_HOUR && pickUpHourOfDay=VERYLATE,both,576.6,1306.9,1883.6,30.614
2,pickUpHourOfDay=AFTERNOON && zone=445,yes,69.0,156.8,225.8,30.558
2,sla=Immediate && zone_demand_popularity=POPULARITY_INDEX_3,yes,69.0,156.8,225.8,30.558
2,source=ios && zone=419,yes,69.0,156.8,225.8,30.558
2,estimated_usage_bins=LTE_1_HOUR && zone_demand_popularity=POPULARITY_INDEX_5,both,220.0,504.6,724.6,30.366
2,estimated_usage_bins=LTE_1_HOUR && zone=431,yes,68.3,156.8,225.1,30.338
2,source=android && zone=431,yes,68.1,156.8,224.9,30.289
2,dayType=FRIDAY && pickUpHourOfDay=VERYLATE,yes,68.0,156.8,224.8,30.249
2,zone=442 && zone_demand_popularity=POPULARITY_INDEX_4,yes,68.0,156.8,224.8,30.249
2,dayType=NORMAL_WEEKDAY && zone=431,yes,67.9,156.8,224.7,30.221
2,booking_type=8hr && dayType=NORMAL_WEEKDAY,both,149.0,349.0,498.0,29.924
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_5,both,268.0,628.0,896.0,29.911
2,pickUpHourOfDay=LATENIGHT && zone_demand_popularity=POPULARITY_INDEX_4,both,84.0,197.0,281.0,29.893
2,booking_type=12hr && estimated_usage_bins=GT_8_HOURS,both,77.0,181.0,258.0,29.845
2,pickUpHourOfDay=MORNING && zone_demand_popularity=POPULARITY_INDEX_1,both,201.0,474.0,675.0,29.778
2,sla=Scheduled && zone=441,yes,66.4,156.8,223.2,29.752
2,booking_type=one_way_trip && zone=399,yes,66.3,156.8,223.1,29.705
2,booking_type=one_way_trip && zone_demand_popularity=POPULARITY_INDEX_4,both,509.2,1207.8,1717.1,29.658
2,dayType=NORMAL_WEEKDAY && zone=419,yes,66.0,156.8,222.8,29.630
2,dayType=NORMAL_WEEKDAY && zone=433,yes,66.0,156.8,222.8,29.630
2,estimated_usage_bins=NOT_SPECIFIED && source=B2B Portal,yes,66.0,156.8,222.8,29.623
2,zone=428 && zone_demand_popularity=POPULARITY_INDEX_4,yes,66.0,156.8,222.8,29.623
2,estimated_usage_bins=GT_3_LTE_4_HOURS && zone_demand_popularity=POPULARITY_INDEX_1,both,143.0,340.0,483.0,29.607
2,dayType=NORMAL_WEEKDAY && estimated_usage_bins=GT_6_LTE_8_HOURS,both,192.4,460.3,652.7,29.480
2,estimated_usage_bins=GT_6_LTE_8_HOURS && pickUpHourOfDay=MORNING,both,175.0,421.0,596.0,29.362
2,source=ios && zone_demand_popularity=POPULARITY_INDEX_4,both,429.0,1041.0,1470.0,29.184
2,dayType=FRIDAY && pickUpHourOfDay=LATENIGHT,both,134.0,326.0,460.0,29.130
2,booking_type=one_way_trip && zone=448,yes,64.4,156.8,221.2,29.103
2,booking_type=one_way_trip && pickUpHourOfDay=EVENING,both,395.7,965.5,1361.2,29.068
2,dayType=FRIDAY && zone=443,yes,64.0,156.8,220.8,28.986
2,estimated_usage_bins=NOT_SPECIFIED && zone=445,yes,64.0,156.8,220.8,28.986
2,zone=427 && zone_demand_popularity=POPULARITY_INDEX_4,yes,64.0,156.8,220.8,28.986
2,tripOutcome=good && zone=428,yes,63.5,156.8,220.3,28.825
2,tripOutcome=good && zone=454,yes,63.5,156.8,220.3,28.825
2,booking_type=one_way_trip && dayType=FRIDAY,both,433.5,1073.4,1506.9,28.769
2,dayType=WEEKEND && source=msite,both,77.0,191.0,268.0,28.731
2,booking_type=4hr && zone_demand_popularity=POPULARITY_INDEX_1,both,113.0,281.0,394.0,28.680
2,dayType=WEEKEND && zone=450,yes,63.0,156.8,219.8,28.663
2,estimated_usage_bins=GT_6_LTE_8_HOURS && pickUpHourOfDay=AFTERNOON,yes,63.0,156.8,219.8,28.663
2,pickUpHourOfDay=AFTERNOON && zone=289,yes,63.0,156.8,219.8,28.663
